fSalesPrimaryKey,ProductID,SalesRepID,Location,Date,Units,PercentOfStandardCost,RevenueDiscount
1,4,6,Germany;Dresden,2.1.2014,145,0.954,0.55
38,8,6,Germany;Dresden,3.1.2014,144,0.962,0.55
39,1,2,Denmark;Copenhagen,3.1.2014,142,0.962,0.55
40,3,5,Germany;Berlin,3.1.2014,135,0.962,0.55
41,4,6,Germany;Dresden,3.1.2014,131,0.962,0.55
42,7,4,Germany;Frankfurt,3.1.2014,129,0.962,0.55
43,11,5,Germany;Berlin,3.1.2014,128,0.962,0.55
44,4,7,Germany;Frankfurt,3.1.2014,127,0.962,0.55
45,6,3,Czech republic;Brno,3.1.2014,123,0.962,0.55
46,7,5,Germany;Berlin,3.1.2014,108,0.962,0.55
47,10,7,Germany;Frankfurt,3.1.2014,104,0.962,0.55
48,9,4,Germany;Frankfurt,3.1.2014,103,0.962,0.55
49,3,7,Germany;Frankfurt,3.1.2014,97,0.962,0.4
50,9,5,Germany;Berlin,3.1.2014,97,0.962,0.4
51,10,7,Germany;Frankfurt,3.1.2014,89,0.962,0.4
52,9,7,Germany;Frankfurt,3.1.2014,89,0.962,0.4
53,8,7,Germany;Frankfurt,3.1.2014,86,0.962,0.4
54,8,1,Czech republic;Prague,3.1.2014,81,0.962,0.4
55,5,5,Germany;Berlin,3.1.2014,80,0.962,0.4
56,10,1,Czech republic;Prague,3.1.2014,77,0.962,0.4
57,7,5,Germany;Berlin,3.1.2014,68,0.962,0.15
58,8,7,Germany;Frankfurt,3.1.2014,64,0.962,0.15
59,3,7,Germany;Frankfurt,3.1.2014,59,0.962,0.15
60,5,7,Germany;Frankfurt,3.1.2014,57,0.962,0.15
61,1,7,Germany;Frankfurt,3.1.2014,56,0.962,0.15
62,1,5,Germany;Berlin,3.1.2014,54,0.962,0.15
63,5,5,Germany;Berlin,3.1.2014,48,0.962,0.15
64,9,7,Germany;Frankfurt,3.1.2014,46,0.962,0.15
65,1,7,Germany;Frankfurt,3.1.2014,45,0.962,0.15
66,10,5,Germany;Berlin,3.1.2014,45,0.962,0.15
67,8,5,Germany;Berlin,3.1.2014,42,0.962,0.15
68,7,2,Denmark;Copenhagen,3.1.2014,28,0.962,0.15
69,10,4,Germany;Frankfurt,3.1.2014,28,0.962,0.15
70,8,1,Czech republic;Prague,3.1.2014,25,0.962,0.01
71,7,7,Germany;Frankfurt,3.1.2014,25,0.962,0.01
72,8,5,Germany;Berlin,3.1.2014,19,0.962,0.01
73,2,5,Germany;Berlin,3.1.2014,19,0.962,0.01
74,10,5,Germany;Berlin,3.1.2014,14,0.962,0.01
75,10,5,Germany;Berlin,3.1.2014,10,0.962,0
76,1,6,Germany;Dresden,3.1.2014,10,0.962,0
77,9,7,Germany;Frankfurt,3.1.2014,9,0.962,0
78,5,2,Denmark;Copenhagen,3.1.2014,9,0.962,0
79,11,3,Czech republic;Ostrava,3.1.2014,8,0.962,0
80,8,1,Czech republic;Prague,3.1.2014,8,0.962,0
81,10,5,Germany;Berlin,3.1.2014,5,0.962,0
82,6,3,Czech republic;Brno,3.1.2014,4,0.962,0
83,6,3,Czech republic;Brno,3.1.2014,1,0.962,0
84,9,1,Czech republic;Prague,4.1.2014,150,0.954,0.55
85,9,3,Czech republic;Ostrava,4.1.2014,147,0.954,0.55
86,10,5,Germany;Berlin,4.1.2014,147,0.954,0.55
87,6,6,Germany;Dresden,4.1.2014,146,0.954,0.55
88,6,5,Germany;Berlin,4.1.2014,145,0.954,0.55
89,4,2,Denmark;Copenhagen,4.1.2014,136,0.954,0.55
90,9,2,Denmark;Copenhagen,4.1.2014,133,0.954,0.55
91,6,7,Germany;Frankfurt,4.1.2014,132,0.954,0.55
92,9,3,Czech republic;Ostrava,4.1.2014,130,0.954,0.55
93,1,7,Germany;Frankfurt,4.1.2014,121,0.954,0.55
94,9,5,Germany;Berlin,4.1.2014,120,0.954,0.55
95,6,3,Czech republic;Brno,4.1.2014,117,0.954,0.55
96,6,6,Germany;Dresden,4.1.2014,116,0.954,0.55
97,4,5,Germany;Berlin,4.1.2014,109,0.954,0.55
98,5,7,Germany;Frankfurt,4.1.2014,107,0.954,0.55
99,7,5,Germany;Berlin,4.1.2014,103,0.954,0.55
100,2,5,Germany;Berlin,4.1.2014,103,0.954,0.55
101,6,7,Germany;Frankfurt,4.1.2014,102,0.954,0.55
102,10,2,Denmark;Copenhagen,4.1.2014,98,0.954,0.4
103,11,7,Germany;Frankfurt,4.1.2014,97,0.954,0.4
104,7,6,Germany;Dresden,4.1.2014,95,0.954,0.4
105,1,7,Germany;Frankfurt,4.1.2014,93,0.954,0.4
106,5,2,Denmark;Copenhagen,4.1.2014,89,0.954,0.4
107,8,5,Germany;Berlin,4.1.2014,83,0.954,0.4
108,11,4,Germany;Frankfurt,4.1.2014,81,0.954,0.4
109,5,7,Germany;Frankfurt,4.1.2014,81,0.954,0.4
110,9,2,Denmark;Copenhagen,4.1.2014,79,0.954,0.4
111,7,5,Germany;Berlin,4.1.2014,79,0.954,0.4
112,9,5,Germany;Berlin,4.1.2014,76,0.954,0.4
113,7,3,Czech republic;Ostrava,4.1.2014,74,0.954,0.15
114,5,7,Germany;Frankfurt,4.1.2014,70,0.954,0.15
115,10,6,Germany;Dresden,4.1.2014,69,0.954,0.15
116,5,7,Germany;Frankfurt,4.1.2014,69,0.954,0.15
117,10,5,Germany;Berlin,4.1.2014,66,0.954,0.15
118,11,5,Germany;Berlin,4.1.2014,66,0.954,0.15
119,7,4,Germany;Frankfurt,4.1.2014,65,0.954,0.15
120,4,5,Germany;Berlin,4.1.2014,63,0.954,0.15
121,1,7,Germany;Frankfurt,4.1.2014,62,0.954,0.15
122,5,4,Germany;Frankfurt,4.1.2014,62,0.954,0.15
123,10,1,Czech republic;Prague,4.1.2014,60,0.954,0.15
124,6,6,Germany;Dresden,4.1.2014,59,0.954,0.15
125,2,7,Germany;Frankfurt,4.1.2014,59,0.954,0.15
126,10,5,Germany;Berlin,4.1.2014,56,0.954,0.15
127,10,7,Germany;Frankfurt,4.1.2014,52,0.954,0.15
128,4,6,Germany;Dresden,4.1.2014,49,0.954,0.15
129,1,3,Czech republic;Brno,4.1.2014,47,0.954,0.15
130,7,5,Germany;Berlin,4.1.2014,46,0.954,0.15
131,6,3,Czech republic;Brno,4.1.2014,44,0.954,0.15
132,11,5,Germany;Berlin,4.1.2014,44,0.954,0.15
133,5,4,Germany;Frankfurt,4.1.2014,43,0.954,0.15
134,5,5,Germany;Berlin,4.1.2014,42,0.954,0.15
135,11,2,Denmark;Copenhagen,4.1.2014,39,0.954,0.15
136,11,2,Denmark;Copenhagen,4.1.2014,19,0.954,0.01
137,9,5,Germany;Berlin,4.1.2014,18,0.954,0.01
138,5,6,Germany;Dresden,4.1.2014,17,0.954,0.01
139,3,5,Germany;Berlin,4.1.2014,10,0.954,0
140,3,4,Germany;Frankfurt,4.1.2014,7,0.954,0
141,8,5,Germany;Berlin,4.1.2014,4,0.954,0
142,8,2,Denmark;Copenhagen,4.1.2014,1,0.954,0
143,1,5,Germany;Berlin,7.1.2014,150,0.942,0.55
144,11,5,Germany;Berlin,7.1.2014,141,0.942,0.55
145,2,7,Germany;Frankfurt,7.1.2014,138,0.942,0.55
146,7,5,Germany;Berlin,7.1.2014,135,0.942,0.55
147,8,7,Germany;Frankfurt,7.1.2014,133,0.942,0.55
148,8,3,Czech republic;Ostrava,7.1.2014,132,0.942,0.55
149,9,7,Germany;Frankfurt,7.1.2014,130,0.942,0.55
150,1,7,Germany;Frankfurt,7.1.2014,125,0.942,0.55
151,4,7,Germany;Frankfurt,7.1.2014,125,0.942,0.55
152,2,1,Czech republic;Prague,7.1.2014,121,0.942,0.55
153,7,7,Germany;Frankfurt,7.1.2014,115,0.942,0.55
154,7,1,Czech republic;Prague,7.1.2014,114,0.942,0.55
155,4,7,Germany;Frankfurt,7.1.2014,114,0.942,0.55
156,5,5,Germany;Berlin,7.1.2014,113,0.942,0.55
157,5,6,Germany;Dresden,7.1.2014,107,0.942,0.55
158,9,7,Germany;Frankfurt,7.1.2014,104,0.942,0.55
159,6,4,Germany;Frankfurt,7.1.2014,99,0.942,0.4
160,1,5,Germany;Berlin,7.1.2014,94,0.942,0.4
161,11,5,Germany;Berlin,7.1.2014,88,0.942,0.4
162,2,5,Germany;Berlin,7.1.2014,84,0.942,0.4
163,2,5,Germany;Berlin,7.1.2014,81,0.942,0.4
164,7,7,Germany;Frankfurt,7.1.2014,80,0.942,0.4
165,11,7,Germany;Frankfurt,7.1.2014,80,0.942,0.4
166,10,4,Germany;Frankfurt,7.1.2014,78,0.942,0.4
167,6,5,Germany;Berlin,7.1.2014,72,0.942,0.15
168,8,7,Germany;Frankfurt,7.1.2014,72,0.942,0.15
169,8,7,Germany;Frankfurt,7.1.2014,71,0.942,0.15
170,11,7,Germany;Frankfurt,7.1.2014,61,0.942,0.15
171,6,5,Germany;Berlin,7.1.2014,55,0.942,0.15
172,5,1,Czech republic;Prague,7.1.2014,52,0.942,0.15
173,1,7,Germany;Frankfurt,7.1.2014,51,0.942,0.15
174,7,4,Germany;Frankfurt,7.1.2014,51,0.942,0.15
175,11,4,Germany;Frankfurt,7.1.2014,51,0.942,0.15
176,7,5,Germany;Berlin,7.1.2014,45,0.942,0.15
177,7,6,Germany;Dresden,7.1.2014,29,0.942,0.15
178,10,5,Germany;Berlin,7.1.2014,26,0.942,0.15
179,10,7,Germany;Frankfurt,7.1.2014,24,0.942,0.01
180,2,1,Czech republic;Prague,7.1.2014,21,0.942,0.01
181,10,5,Germany;Berlin,7.1.2014,19,0.942,0.01
182,3,7,Germany;Frankfurt,7.1.2014,19,0.942,0.01
183,9,7,Germany;Frankfurt,7.1.2014,18,0.942,0.01
184,8,4,Germany;Frankfurt,7.1.2014,12,0.942,0.01
185,11,7,Germany;Frankfurt,7.1.2014,12,0.942,0.01
186,3,2,Denmark;Copenhagen,7.1.2014,9,0.942,0
187,6,5,Germany;Berlin,7.1.2014,3,0.942,0
188,10,4,Germany;Frankfurt,7.1.2014,1,0.942,0
189,8,5,Germany;Berlin,8.1.2014,144,0.948,0.55
190,9,4,Germany;Frankfurt,8.1.2014,141,0.948,0.55
191,5,1,Czech republic;Prague,8.1.2014,138,0.948,0.55
192,5,5,Germany;Berlin,8.1.2014,132,0.948,0.55
193,8,3,Czech republic;Ostrava,8.1.2014,128,0.948,0.55
194,8,6,Germany;Dresden,8.1.2014,124,0.948,0.55
195,7,3,Czech republic;Ostrava,8.1.2014,122,0.948,0.55
196,1,7,Germany;Frankfurt,8.1.2014,120,0.948,0.55
197,7,5,Germany;Berlin,8.1.2014,115,0.948,0.55
198,1,2,Denmark;Copenhagen,8.1.2014,111,0.948,0.55
199,6,2,Denmark;Copenhagen,8.1.2014,105,0.948,0.55
200,5,5,Germany;Berlin,8.1.2014,101,0.948,0.55
201,10,2,Denmark;Copenhagen,8.1.2014,98,0.948,0.4
202,11,1,Czech republic;Prague,8.1.2014,94,0.948,0.4
203,2,4,Germany;Frankfurt,8.1.2014,93,0.948,0.4
204,5,4,Germany;Frankfurt,8.1.2014,93,0.948,0.4
205,3,7,Germany;Frankfurt,8.1.2014,92,0.948,0.4
206,6,5,Germany;Berlin,8.1.2014,85,0.948,0.4
207,5,2,Denmark;Copenhagen,8.1.2014,82,0.948,0.4
208,6,2,Denmark;Copenhagen,8.1.2014,74,0.948,0.15
209,9,7,Germany;Frankfurt,8.1.2014,68,0.948,0.15
210,7,5,Germany;Berlin,8.1.2014,67,0.948,0.15
211,5,4,Germany;Frankfurt,8.1.2014,67,0.948,0.15
212,9,5,Germany;Berlin,8.1.2014,65,0.948,0.15
213,6,6,Germany;Dresden,8.1.2014,62,0.948,0.15
214,7,2,Denmark;Copenhagen,8.1.2014,60,0.948,0.15
215,9,4,Germany;Frankfurt,8.1.2014,54,0.948,0.15
216,4,7,Germany;Frankfurt,8.1.2014,53,0.948,0.15
217,8,3,Czech republic;Ostrava,8.1.2014,53,0.948,0.15
218,7,5,Germany;Berlin,8.1.2014,51,0.948,0.15
219,10,6,Germany;Dresden,8.1.2014,51,0.948,0.15
220,6,5,Germany;Berlin,8.1.2014,50,0.948,0.15
221,1,1,Czech republic;Prague,8.1.2014,46,0.948,0.15
222,6,5,Germany;Berlin,8.1.2014,40,0.948,0.15
223,8,5,Germany;Berlin,8.1.2014,39,0.948,0.15
224,1,4,Germany;Frankfurt,8.1.2014,33,0.948,0.15
225,8,5,Germany;Berlin,8.1.2014,30,0.948,0.15
226,6,7,Germany;Frankfurt,8.1.2014,28,0.948,0.15
227,5,5,Germany;Berlin,8.1.2014,23,0.948,0.01
228,1,3,Czech republic;Brno,8.1.2014,20,0.948,0.01
229,6,7,Germany;Frankfurt,8.1.2014,19,0.948,0.01
230,6,2,Denmark;Copenhagen,8.1.2014,12,0.948,0.01
231,7,7,Germany;Frankfurt,8.1.2014,10,0.948,0
232,1,5,Germany;Berlin,8.1.2014,9,0.948,0
233,10,3,Czech republic;Ostrava,8.1.2014,8,0.948,0
234,3,5,Germany;Berlin,8.1.2014,7,0.948,0
235,11,1,Czech republic;Prague,8.1.2014,6,0.948,0
236,4,3,Czech republic;Brno,8.1.2014,6,0.948,0
237,2,6,Germany;Dresden,8.1.2014,4,0.948,0
238,3,7,Germany;Frankfurt,8.1.2014,2,0.948,0
239,4,7,Germany;Frankfurt,8.1.2014,1,0.948,0
240,3,7,Germany;Frankfurt,9.1.2014,144,0.939,0.55
241,1,7,Germany;Frankfurt,9.1.2014,143,0.939,0.55
242,9,6,Germany;Dresden,9.1.2014,138,0.939,0.55
243,8,5,Germany;Berlin,9.1.2014,136,0.939,0.55
244,4,5,Germany;Berlin,9.1.2014,130,0.939,0.55
245,1,7,Germany;Frankfurt,9.1.2014,128,0.939,0.55
246,3,1,Czech republic;Prague,9.1.2014,126,0.939,0.55
247,2,1,Czech republic;Prague,9.1.2014,122,0.939,0.55
248,10,6,Germany;Dresden,9.1.2014,122,0.939,0.55
249,2,6,Germany;Dresden,9.1.2014,121,0.939,0.55
250,9,5,Germany;Berlin,9.1.2014,120,0.939,0.55
251,9,6,Germany;Dresden,9.1.2014,115,0.939,0.55
252,4,5,Germany;Berlin,9.1.2014,109,0.939,0.55
253,3,7,Germany;Frankfurt,9.1.2014,108,0.939,0.55
254,2,7,Germany;Frankfurt,9.1.2014,104,0.939,0.55
255,9,7,Germany;Frankfurt,9.1.2014,99,0.939,0.4
256,1,5,Germany;Berlin,9.1.2014,96,0.939,0.4
257,9,2,Denmark;Copenhagen,9.1.2014,88,0.939,0.4
258,11,5,Germany;Berlin,9.1.2014,87,0.939,0.4
259,8,6,Germany;Dresden,9.1.2014,85,0.939,0.4
260,8,7,Germany;Frankfurt,9.1.2014,84,0.939,0.4
261,5,5,Germany;Berlin,9.1.2014,81,0.939,0.4
262,3,7,Germany;Frankfurt,9.1.2014,72,0.939,0.15
263,10,5,Germany;Berlin,9.1.2014,68,0.939,0.15
264,2,5,Germany;Berlin,9.1.2014,66,0.939,0.15
265,1,7,Germany;Frankfurt,9.1.2014,56,0.939,0.15
266,4,7,Germany;Frankfurt,9.1.2014,53,0.939,0.15
267,4,6,Germany;Dresden,9.1.2014,44,0.939,0.15
268,1,2,Denmark;Copenhagen,9.1.2014,34,0.939,0.15
269,2,7,Germany;Frankfurt,9.1.2014,32,0.939,0.15
270,10,5,Germany;Berlin,9.1.2014,31,0.939,0.15
271,6,3,Czech republic;Brno,9.1.2014,29,0.939,0.15
272,2,5,Germany;Berlin,9.1.2014,29,0.939,0.15
273,10,5,Germany;Berlin,9.1.2014,28,0.939,0.15
274,9,1,Czech republic;Prague,9.1.2014,25,0.939,0.01
275,6,5,Germany;Berlin,9.1.2014,24,0.939,0.01
276,11,3,Czech republic;Ostrava,9.1.2014,8,0.939,0
277,3,1,Czech republic;Prague,9.1.2014,8,0.939,0
278,5,7,Germany;Frankfurt,9.1.2014,8,0.939,0
279,7,4,Germany;Frankfurt,9.1.2014,7,0.939,0
280,11,2,Denmark;Copenhagen,10.1.2014,147,0.953,0.55
281,8,2,Denmark;Copenhagen,10.1.2014,147,0.953,0.55
282,8,5,Germany;Berlin,10.1.2014,143,0.953,0.55
283,7,5,Germany;Berlin,10.1.2014,131,0.953,0.55
284,9,5,Germany;Berlin,10.1.2014,131,0.953,0.55
285,5,7,Germany;Frankfurt,10.1.2014,131,0.953,0.55
286,11,7,Germany;Frankfurt,10.1.2014,128,0.953,0.55
287,9,7,Germany;Frankfurt,10.1.2014,125,0.953,0.55
288,6,1,Czech republic;Prague,10.1.2014,124,0.953,0.55
289,5,5,Germany;Berlin,10.1.2014,122,0.953,0.55
290,6,5,Germany;Berlin,10.1.2014,118,0.953,0.55
291,2,2,Denmark;Copenhagen,10.1.2014,117,0.953,0.55
292,1,7,Germany;Frankfurt,10.1.2014,116,0.953,0.55
293,9,7,Germany;Frankfurt,10.1.2014,113,0.953,0.55
294,10,2,Denmark;Copenhagen,10.1.2014,109,0.953,0.55
295,1,6,Germany;Dresden,10.1.2014,106,0.953,0.55
296,8,3,Czech republic;Ostrava,10.1.2014,103,0.953,0.55
297,4,5,Germany;Berlin,10.1.2014,101,0.953,0.55
298,3,7,Germany;Frankfurt,10.1.2014,100,0.953,0.55
299,8,6,Germany;Dresden,10.1.2014,94,0.953,0.4
300,10,7,Germany;Frankfurt,10.1.2014,92,0.953,0.4
301,6,6,Germany;Dresden,10.1.2014,90,0.953,0.4
302,10,7,Germany;Frankfurt,10.1.2014,88,0.953,0.4
303,5,5,Germany;Berlin,10.1.2014,85,0.953,0.4
304,7,7,Germany;Frankfurt,10.1.2014,85,0.953,0.4
305,9,7,Germany;Frankfurt,10.1.2014,81,0.953,0.4
306,1,7,Germany;Frankfurt,10.1.2014,78,0.953,0.4
307,1,7,Germany;Frankfurt,10.1.2014,77,0.953,0.4
308,8,7,Germany;Frankfurt,10.1.2014,67,0.953,0.15
309,7,1,Czech republic;Prague,10.1.2014,67,0.953,0.15
310,2,2,Denmark;Copenhagen,10.1.2014,65,0.953,0.15
311,7,7,Germany;Frankfurt,10.1.2014,60,0.953,0.15
312,4,5,Germany;Berlin,10.1.2014,60,0.953,0.15
313,4,5,Germany;Berlin,10.1.2014,59,0.953,0.15
314,1,6,Germany;Dresden,10.1.2014,57,0.953,0.15
315,5,5,Germany;Berlin,10.1.2014,57,0.953,0.15
316,6,5,Germany;Berlin,10.1.2014,55,0.953,0.15
317,7,5,Germany;Berlin,10.1.2014,54,0.953,0.15
318,1,5,Germany;Berlin,10.1.2014,42,0.953,0.15
319,10,7,Germany;Frankfurt,10.1.2014,35,0.953,0.15
320,2,5,Germany;Berlin,10.1.2014,30,0.953,0.15
321,9,7,Germany;Frankfurt,10.1.2014,28,0.953,0.15
322,5,7,Germany;Frankfurt,10.1.2014,21,0.953,0.01
323,8,5,Germany;Berlin,10.1.2014,21,0.953,0.01
324,4,7,Germany;Frankfurt,10.1.2014,19,0.953,0.01
325,3,7,Germany;Frankfurt,10.1.2014,16,0.953,0.01
326,5,7,Germany;Frankfurt,10.1.2014,15,0.953,0.01
327,9,4,Germany;Frankfurt,10.1.2014,13,0.953,0.01
328,5,5,Germany;Berlin,10.1.2014,12,0.953,0.01
329,11,5,Germany;Berlin,10.1.2014,10,0.953,0
330,2,5,Germany;Berlin,10.1.2014,8,0.953,0
331,6,7,Germany;Frankfurt,10.1.2014,2,0.953,0
332,1,4,Germany;Frankfurt,10.1.2014,1,0.953,0
333,2,2,Denmark;Copenhagen,11.1.2014,150,0.963,0.55
334,11,3,Czech republic;Ostrava,11.1.2014,149,0.963,0.55
335,2,3,Czech republic;Brno,11.1.2014,146,0.963,0.55
336,11,3,Czech republic;Ostrava,11.1.2014,139,0.963,0.55
337,1,7,Germany;Frankfurt,11.1.2014,138,0.963,0.55
338,10,3,Czech republic;Ostrava,11.1.2014,136,0.963,0.55
339,3,7,Germany;Frankfurt,11.1.2014,135,0.963,0.55
340,2,5,Germany;Berlin,11.1.2014,133,0.963,0.55
341,11,7,Germany;Frankfurt,11.1.2014,130,0.963,0.55
342,8,4,Germany;Frankfurt,11.1.2014,125,0.963,0.55
343,11,5,Germany;Berlin,11.1.2014,120,0.963,0.55
344,3,5,Germany;Berlin,11.1.2014,120,0.963,0.55
345,2,4,Germany;Frankfurt,11.1.2014,119,0.963,0.55
346,5,7,Germany;Frankfurt,11.1.2014,117,0.963,0.55
347,10,3,Czech republic;Ostrava,11.1.2014,117,0.963,0.55
348,3,7,Germany;Frankfurt,11.1.2014,104,0.963,0.55
349,2,6,Germany;Dresden,11.1.2014,93,0.963,0.4
350,10,5,Germany;Berlin,11.1.2014,90,0.963,0.4
351,4,7,Germany;Frankfurt,11.1.2014,86,0.963,0.4
352,6,3,Czech republic;Brno,11.1.2014,84,0.963,0.4
353,11,6,Germany;Dresden,11.1.2014,81,0.963,0.4
354,10,2,Denmark;Copenhagen,11.1.2014,77,0.963,0.4
355,9,1,Czech republic;Prague,11.1.2014,74,0.963,0.15
356,1,3,Czech republic;Brno,11.1.2014,71,0.963,0.15
357,9,1,Czech republic;Prague,11.1.2014,68,0.963,0.15
358,10,5,Germany;Berlin,11.1.2014,62,0.963,0.15
359,11,5,Germany;Berlin,11.1.2014,60,0.963,0.15
360,9,6,Germany;Dresden,11.1.2014,59,0.963,0.15
361,10,1,Czech republic;Prague,11.1.2014,58,0.963,0.15
362,4,5,Germany;Berlin,11.1.2014,56,0.963,0.15
363,1,3,Czech republic;Brno,11.1.2014,48,0.963,0.15
364,1,6,Germany;Dresden,11.1.2014,46,0.963,0.15
365,6,1,Czech republic;Prague,11.1.2014,44,0.963,0.15
366,8,1,Czech republic;Prague,11.1.2014,41,0.963,0.15
367,6,3,Czech republic;Brno,11.1.2014,39,0.963,0.15
368,6,5,Germany;Berlin,11.1.2014,32,0.963,0.15
369,2,5,Germany;Berlin,11.1.2014,31,0.963,0.15
370,4,7,Germany;Frankfurt,11.1.2014,28,0.963,0.15
371,9,7,Germany;Frankfurt,11.1.2014,27,0.963,0.15
372,7,7,Germany;Frankfurt,11.1.2014,25,0.963,0.01
373,2,5,Germany;Berlin,11.1.2014,24,0.963,0.01
374,6,5,Germany;Berlin,11.1.2014,17,0.963,0.01
375,2,2,Denmark;Copenhagen,11.1.2014,15,0.963,0.01
376,6,2,Denmark;Copenhagen,11.1.2014,14,0.963,0.01
377,5,1,Czech republic;Prague,11.1.2014,11,0.963,0.01
378,10,5,Germany;Berlin,11.1.2014,8,0.963,0
379,9,3,Czech republic;Ostrava,11.1.2014,4,0.963,0
380,10,6,Germany;Dresden,13.1.2014,145,0.955,0.55
381,2,2,Denmark;Copenhagen,13.1.2014,139,0.955,0.55
382,1,7,Germany;Frankfurt,13.1.2014,134,0.955,0.55
383,7,7,Germany;Frankfurt,13.1.2014,130,0.955,0.55
384,10,2,Denmark;Copenhagen,13.1.2014,124,0.955,0.55
385,11,7,Germany;Frankfurt,13.1.2014,118,0.955,0.55
386,8,3,Czech republic;Ostrava,13.1.2014,116,0.955,0.55
387,9,5,Germany;Berlin,13.1.2014,115,0.955,0.55
388,9,5,Germany;Berlin,13.1.2014,114,0.955,0.55
389,11,7,Germany;Frankfurt,13.1.2014,108,0.955,0.55
390,9,7,Germany;Frankfurt,13.1.2014,108,0.955,0.55
391,11,5,Germany;Berlin,13.1.2014,106,0.955,0.55
392,6,7,Germany;Frankfurt,13.1.2014,98,0.955,0.4
393,11,2,Denmark;Copenhagen,13.1.2014,96,0.955,0.4
394,3,4,Germany;Frankfurt,13.1.2014,93,0.955,0.4
395,10,1,Czech republic;Prague,13.1.2014,86,0.955,0.4
396,9,6,Germany;Dresden,13.1.2014,84,0.955,0.4
397,7,4,Germany;Frankfurt,13.1.2014,80,0.955,0.4
398,10,5,Germany;Berlin,13.1.2014,79,0.955,0.4
399,9,5,Germany;Berlin,13.1.2014,79,0.955,0.4
400,11,5,Germany;Berlin,13.1.2014,79,0.955,0.4
401,7,5,Germany;Berlin,13.1.2014,76,0.955,0.4
402,5,5,Germany;Berlin,13.1.2014,75,0.955,0.15
403,7,3,Czech republic;Ostrava,13.1.2014,73,0.955,0.15
404,10,6,Germany;Dresden,13.1.2014,72,0.955,0.15
405,10,6,Germany;Dresden,13.1.2014,71,0.955,0.15
406,8,5,Germany;Berlin,13.1.2014,69,0.955,0.15
407,10,3,Czech republic;Ostrava,13.1.2014,61,0.955,0.15
408,8,4,Germany;Frankfurt,13.1.2014,59,0.955,0.15
409,11,5,Germany;Berlin,13.1.2014,59,0.955,0.15
410,8,5,Germany;Berlin,13.1.2014,55,0.955,0.15
411,6,7,Germany;Frankfurt,13.1.2014,55,0.955,0.15
412,9,7,Germany;Frankfurt,13.1.2014,54,0.955,0.15
413,10,7,Germany;Frankfurt,13.1.2014,53,0.955,0.15
414,3,5,Germany;Berlin,13.1.2014,49,0.955,0.15
415,2,5,Germany;Berlin,13.1.2014,49,0.955,0.15
416,6,1,Czech republic;Prague,13.1.2014,49,0.955,0.15
417,4,4,Germany;Frankfurt,13.1.2014,46,0.955,0.15
418,2,4,Germany;Frankfurt,13.1.2014,44,0.955,0.15
